2026-09-22 14:50:57 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:51:00 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:51:07 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:51:20 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:52:07 | INFO     | __main__:main:52 | Bot to'xtatildi.
2026-09-22 14:52:43 | INFO     | __main__:main:15 | ============================================================
2026-09-22 14:52:43 | INFO     | __main__:main:16 | 🚛 Truck Factory Bot ishga tushmoqda...
2026-09-22 14:52:43 | INFO     | __main__:main:17 | Environment: development
2026-09-22 14:52:43 | INFO     | __main__:main:18 | Bot: @baaztrucksbot
2026-09-22 14:52:43 | INFO     | __main__:main:19 | Adminlar: 1 ta
2026-09-22 14:52:43 | INFO     | __main__:main:20 | ============================================================
2026-09-22 14:52:43 | SUCCESS  | __main__:main:31 | ✅ Bot tasdiqlandi: @baaztrucksbot (id=8827463818)
2026-09-22 14:52:43 | SUCCESS  | __main__:main:42 | 🚀 Bot polling boshlandi. Telegramda /start bosing.
2026-09-22 14:53:17 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:53:22 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:53:25 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:53:25 | INFO     | src.bot.handlers.admin.users:block_user:217 | 🚫 User bloklandi: Test User (id=2) tomonidan Max ️
2026-09-22 14:53:34 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:53:34 | INFO     | src.bot.handlers.admin.users:unblock_user:270 | ✅ User aktivlashtirildi: Test User (id=2) tomonidan Max ️
2026-09-22 14:53:48 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:53:48 | INFO     | src.bot.handlers.admin.users:block_user:217 | 🚫 User bloklandi: Test User (id=2) tomonidan Max ️
2026-09-22 15:14:15 | INFO     | __main__:main:52 | Bot to'xtatildi.
